Country,Revenue
United Kingdom,4039729.79
EIRE,102498.51
Germany,94022.48
Netherlands,89850.96
France,85541.56999999999
Australia,49209.71
Switzerland,27692.51
Spain,25007.25
Japan,17134.16
Belgium,16942.55
Norway,14655.1
Portugal,13162.27
Finland,11357.6
Sweden,9316.36
Singapore,8209.58
Channel Islands,7894.96
Cyprus,5385.91
Denmark,4863.56
Poland,3904.21
Italy,3664.11
Austria,2999.69
Iceland,2540.29
USA,2464.75
Greece,2099.28
Unspecified,2065.56
Canada,1751.88
Lithuania,1661.06
Hong Kong,1539.64
Israel,1051.6
United Arab Emirates,975.54
Malta,833.16
Bahrain,459.4
European Community,432.05
Czech Republic,277.48
